2025-09-05 19:17:08.289 | INFO     | __main__:main:208 - Squirtle uses Body Slam that does 45 damage to Jigglypuff. Jigglypuff has 0 HP left!
2025-09-05 19:17:09.292 | INFO     | __main__:main:230 - Squirtle knocks out Jigglypuff and wins the battle (accb75f1)!
2025-09-05 19:17:09.293 | INFO     | __main__:main:208 - Eevee uses Flamethrower that does 55 damage to Mewtwo. Mewtwo has 111 HP left!
2025-09-05 19:17:10.295 | INFO     | __main__:main:208 - Eevee uses Thunderbolt that does 17 damage to Mewtwo. Mewtwo has 94 HP left!
2025-09-05 19:17:11.297 | INFO     | __main__:main:208 - Eevee uses Quick Attack that does 17 damage to Mewtwo. Mewtwo has 77 HP left!
2025-09-05 19:17:12.300 | INFO     | __main__:main:208 - Eevee uses Psychic that does 24 damage to Mewtwo. Mewtwo has 53 HP left!
2025-09-05 19:17:13.301 | INFO     | __main__:main:208 - Eevee uses Hyper Beam that does 21 damage to Mewtwo. Mewtwo has 32 HP left!
2025-09-05 19:17:14.305 | INFO     | __main__:main:208 - Eevee uses Quick Attack that does 17 damage to Mewtwo. Mewtwo has 15 HP left!
2025-09-05 19:17:15.306 | INFO     | __main__:main:208 - Eevee uses Hyper Beam that does 21 damage to Mewtwo. Mewtwo has 0 HP left!
2025-09-05 19:17:16.309 | INFO     | __main__:main:230 - Eevee knocks out Mewtwo and wins the battle (b24974eb)!
2025-09-05 19:17:16.310 | INFO     | __main__:main:208 - Jigglypuff uses Flamethrower that does 39 damage to Eevee. Eevee has 76 HP left!
2025-09-05 19:17:17.312 | INFO     | __main__:main:208 - Jigglypuff uses Water Gun that does 19 damage to Eevee. Eevee has 57 HP left!
2025-09-05 19:17:17.312 | INFO     | __main__:main:265 - [METRICS last 60s][KOs] total=8
2025-09-05 19:17:18.315 | INFO     | __main__:main:208 - Jigglypuff uses Mimic that does 0 damage to Eevee. Eevee has 57 HP left!
2025-09-05 19:17:19.316 | INFO     | __main__:main:208 - Jigglypuff uses Psychic that does 16 damage to Eevee. Eevee has 41 HP left!
2025-09-05 19:17:20.319 | INFO     | __main__:main:208 - Jigglypuff uses Mimic that does 0 damage to Eevee. Eevee has 41 HP left!
2025-09-05 19:17:21.322 | INFO     | __main__:main:208 - Jigglypuff uses Hyper Beam that does 14 damage to Eevee. Eevee has 27 HP left!
2025-09-05 19:17:22.324 | INFO     | __main__:main:208 - Jigglypuff uses Sing that does 0 damage to Eevee. Eevee has 27 HP left!
2025-09-05 19:17:23.326 | INFO     | __main__:main:208 - Jigglypuff uses Mimic that does 0 damage to Eevee. Eevee has 27 HP left!
2025-09-05 19:17:24.327 | INFO     | __main__:main:208 - Jigglypuff uses Hyper Beam that does 14 damage to Eevee. Eevee has 13 HP left!
2025-09-05 19:17:25.330 | INFO     | __main__:main:208 - Jigglypuff uses Psychic that does 16 damage to Eevee. Eevee has 0 HP left!
